timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/08/07 04:39:22.349, 0, 6 %, 0 %, 0 MiB, 81920 MiB, 114.32 W
2026/08/07 04:39:27.355, 0, 0 %, 0 %, 0 MiB, 81920 MiB, 63.75 W
2026/08/07 04:39:32.357, 0, 0 %, 0 %, 0 MiB, 81920 MiB, 63.58 W
2026/08/07 04:39:37.359, 0, 0 %, 0 %, 0 MiB, 81920 MiB, 63.58 W
2026/08/07 04:39:42.361, 0, 0 %, 0 %, 0 MiB, 81920 MiB, 63.50 W
2026/08/07 04:39:47.364, 0, 0 %, 0 %, 21 MiB, 81920 MiB, 63.50 W
2026/08/07 04:39:52.375, 0, 2 %, 0 %, 61313 MiB, 81920 MiB, 94.97 W
2026/08/07 04:39:57.378, 0, 3 %, 0 %, 61313 MiB, 81920 MiB, 94.92 W
2026/08/07 04:40:02.380, 0, 2 %, 0 %, 61313 MiB, 81920 MiB, 95.56 W
2026/08/07 04:40:07.384, 0, 0 %, 0 %, 0 MiB, 81920 MiB, 114.72 W
2026/08/07 04:40:12.386, 0, 0 %, 0 %, 0 MiB, 81920 MiB, 63.95 W
2026/08/07 04:40:17.389, 0, 0 %, 0 %, 79619 MiB, 81920 MiB, 95.56 W
2026/08/07 04:40:22.392, 0, 0 %, 0 %, 79633 MiB, 81920 MiB, 95.67 W
2026/08/07 04:40:27.395, 0, 6 %, 0 %, 79635 MiB, 81920 MiB, 96.36 W
2026/08/07 04:40:32.397, 0, 5 %, 0 %, 79635 MiB, 81920 MiB, 96.36 W
2026/08/07 04:40:37.400, 0, 0 %, 0 %, 79635 MiB, 81920 MiB, 95.95 W
2026/08/07 04:40:42.403, 0, 5 %, 0 %, 79635 MiB, 81920 MiB, 96.36 W
2026/08/07 04:40:47.405, 0, 5 %, 0 %, 79635 MiB, 81920 MiB, 96.49 W
2026/08/07 04:40:52.407, 0, 10 %, 0 %, 79635 MiB, 81920 MiB, 96.88 W
2026/08/07 04:40:57.410, 0, 2 %, 0 %, 79635 MiB, 81920 MiB, 95.73 W
2026/08/07 04:41:02.413, 0, 9 %, 0 %, 79635 MiB, 81920 MiB, 96.72 W
2026/08/07 04:41:07.415, 0, 0 %, 0 %, 79635 MiB, 81920 MiB, 95.78 W
2026/08/07 04:41:12.418, 0, 0 %, 0 %, 79635 MiB, 81920 MiB, 95.84 W
2026/08/07 04:41:17.421, 0, 3 %, 0 %, 79635 MiB, 81920 MiB, 96.72 W
2026/08/07 04:41:22.423, 0, 5 %, 0 %, 79635 MiB, 81920 MiB, 96.49 W
2026/08/07 04:41:27.426, 0, 0 %, 0 %, 79635 MiB, 81920 MiB, 95.78 W
2026/08/07 04:41:32.429, 0, 5 %, 0 %, 79635 MiB, 81920 MiB, 96.47 W
2026/08/07 04:41:37.432, 0, 5 %, 0 %, 79635 MiB, 81920 MiB, 95.95 W
2026/08/07 04:41:42.435, 0, 10 %, 0 %, 79635 MiB, 81920 MiB, 96.88 W
2026/08/07 04:41:47.525, 0, 4 %, 0 %, 79635 MiB, 81920 MiB, 97.11 W
2026/08/07 04:41:52.527, 0, 0 %, 0 %, 79635 MiB, 81920 MiB, 95.65 W
2026/08/07 04:41:57.530, 0, 0 %, 0 %, 79635 MiB, 81920 MiB, 95.37 W
