timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/08/07 01:31:48.388, 0, 0 %, 0 %, 0 MiB, 81920 MiB, 114.04 W
2026/08/07 01:31:53.400, 0, 0 %, 0 %, 0 MiB, 81920 MiB, 63.75 W
2026/08/07 01:31:58.402, 0, 0 %, 0 %, 0 MiB, 81920 MiB, 63.75 W
2026/08/07 01:32:03.405, 0, 0 %, 0 %, 0 MiB, 81920 MiB, 63.67 W
2026/08/07 01:32:08.407, 0, 0 %, 0 %, 0 MiB, 81920 MiB, 63.75 W
2026/08/07 01:32:13.413, 0, 0 %, 0 %, 0 MiB, 81920 MiB, 63.75 W
2026/08/07 01:32:18.416, 0, 1 %, 0 %, 61313 MiB, 81920 MiB, 115.13 W
2026/08/07 01:32:23.419, 0, 0 %, 0 %, 61313 MiB, 81920 MiB, 113.90 W
2026/08/07 01:32:28.421, 0, 0 %, 0 %, 0 MiB, 81920 MiB, 64.39 W
2026/08/07 01:32:33.424, 0, 0 %, 0 %, 0 MiB, 81920 MiB, 63.67 W
2026/08/07 01:32:38.426, 0, 0 %, 0 %, 79625 MiB, 81920 MiB, 113.66 W
2026/08/07 01:32:43.437, 0, 2 %, 0 %, 79635 MiB, 81920 MiB, 115.13 W
2026/08/07 01:32:48.440, 0, 0 %, 0 %, 79635 MiB, 81920 MiB, 114.04 W
2026/08/07 01:32:53.442, 0, 2 %, 0 %, 79635 MiB, 81920 MiB, 113.90 W
2026/08/07 01:32:58.445, 0, 0 %, 0 %, 79635 MiB, 81920 MiB, 114.32 W
2026/08/07 01:33:03.451, 0, 4 %, 0 %, 79635 MiB, 81920 MiB, 115.75 W
2026/08/07 01:33:08.453, 0, 0 %, 0 %, 79635 MiB, 81920 MiB, 114.32 W
2026/08/07 01:33:13.467, 0, 0 %, 0 %, 79635 MiB, 81920 MiB, 114.32 W
2026/08/07 01:33:18.470, 0, 0 %, 0 %, 79635 MiB, 81920 MiB, 114.32 W
2026/08/07 01:33:23.473, 0, 0 %, 0 %, 79637 MiB, 81920 MiB, 114.04 W
2026/08/07 01:33:28.475, 0, 0 %, 0 %, 0 MiB, 81920 MiB, 114.18 W
2026/08/07 01:33:33.478, 0, 0 %, 0 %, 0 MiB, 81920 MiB, 63.82 W
2026/08/07 01:33:38.480, 0, 0 %, 0 %, 0 MiB, 81920 MiB, 63.75 W
2026/08/07 01:33:43.489, 0, 0 %, 0 %, 61313 MiB, 81920 MiB, 113.90 W
