timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/08/05 23:47:10.907, 0, 0 %, 0 %, 0 MiB, 40960 MiB, 75.37 W
2026/08/05 23:47:10.913, 1, 0 %, 0 %, 0 MiB, 40960 MiB, 104.61 W
2026/08/05 23:47:10.915, 2, 0 %, 0 %, 0 MiB, 40960 MiB, 72.02 W
2026/08/05 23:47:10.918, 3, 0 %, 0 %, 0 MiB, 40960 MiB, 76.22 W
2026/08/05 23:47:15.921, 0, 0 %, 0 %, 0 MiB, 40960 MiB, 54.16 W
2026/08/05 23:47:15.924, 1, 0 %, 0 %, 0 MiB, 40960 MiB, 53.40 W
2026/08/05 23:47:15.925, 2, 0 %, 0 %, 0 MiB, 40960 MiB, 50.88 W
2026/08/05 23:47:15.926, 3, 0 %, 0 %, 0 MiB, 40960 MiB, 53.17 W
2026/08/05 23:47:20.928, 0, 0 %, 0 %, 21 MiB, 40960 MiB, 54.40 W
2026/08/05 23:47:20.932, 1, 0 %, 0 %, 4 MiB, 40960 MiB, 53.40 W
2026/08/05 23:47:20.934, 2, 0 %, 0 %, 4 MiB, 40960 MiB, 50.88 W
2026/08/05 23:47:20.935, 3, 0 %, 0 %, 4 MiB, 40960 MiB, 60.63 W
2026/08/05 23:47:25.937, 0, 0 %, 0 %, 38907 MiB, 40960 MiB, 73.56 W
2026/08/05 23:47:25.940, 1, 0 %, 0 %, 427 MiB, 40960 MiB, 71.59 W
2026/08/05 23:47:25.942, 2, 0 %, 0 %, 427 MiB, 40960 MiB, 69.21 W
2026/08/05 23:47:25.944, 3, 0 %, 0 %, 427 MiB, 40960 MiB, 72.36 W
2026/08/05 23:47:30.947, 0, 0 %, 0 %, 38907 MiB, 40960 MiB, 73.65 W
2026/08/05 23:47:30.949, 1, 0 %, 0 %, 427 MiB, 40960 MiB, 71.59 W
2026/08/05 23:47:30.951, 2, 0 %, 0 %, 427 MiB, 40960 MiB, 69.50 W
2026/08/05 23:47:30.952, 3, 0 %, 0 %, 427 MiB, 40960 MiB, 72.36 W
2026/08/05 23:47:35.954, 0, 1 %, 0 %, 38919 MiB, 40960 MiB, 74.61 W
2026/08/05 23:47:35.956, 1, 0 %, 0 %, 427 MiB, 40960 MiB, 71.59 W
2026/08/05 23:47:35.958, 2, 0 %, 0 %, 427 MiB, 40960 MiB, 69.21 W
2026/08/05 23:47:35.960, 3, 0 %, 0 %, 427 MiB, 40960 MiB, 72.36 W
2026/08/05 23:47:40.962, 0, 0 %, 0 %, 38919 MiB, 40960 MiB, 73.65 W
2026/08/05 23:47:40.964, 1, 0 %, 0 %, 427 MiB, 40960 MiB, 71.59 W
2026/08/05 23:47:40.966, 2, 0 %, 0 %, 427 MiB, 40960 MiB, 69.21 W
2026/08/05 23:47:40.967, 3, 0 %, 0 %, 427 MiB, 40960 MiB, 72.36 W
2026/08/05 23:47:45.969, 0, 0 %, 0 %, 38919 MiB, 40960 MiB, 73.65 W
2026/08/05 23:47:45.971, 1, 0 %, 0 %, 427 MiB, 40960 MiB, 71.59 W
2026/08/05 23:47:45.973, 2, 0 %, 0 %, 427 MiB, 40960 MiB, 69.21 W
2026/08/05 23:47:45.974, 3, 0 %, 0 %, 427 MiB, 40960 MiB, 72.36 W
2026/08/05 23:47:50.976, 0, 100 %, 3 %, 0 MiB, 40960 MiB, 110.48 W
2026/08/05 23:47:50.977, 1, 0 %, 0 %, 0 MiB, 40960 MiB, 71.51 W
2026/08/05 23:47:50.979, 2, 0 %, 0 %, 0 MiB, 40960 MiB, 69.50 W
2026/08/05 23:47:50.980, 3, 0 %, 0 %, 0 MiB, 40960 MiB, 72.36 W
2026/08/05 23:47:55.981, 0, 0 %, 0 %, 0 MiB, 40960 MiB, 54.40 W
2026/08/05 23:47:55.983, 1, 0 %, 0 %, 0 MiB, 40960 MiB, 53.40 W
2026/08/05 23:47:55.985, 2, 0 %, 0 %, 0 MiB, 40960 MiB, 50.88 W
2026/08/05 23:47:55.986, 3, 0 %, 0 %, 0 MiB, 40960 MiB, 53.17 W
2026/08/05 23:48:00.987, 0, 0 %, 0 %, 38907 MiB, 40960 MiB, 73.65 W
2026/08/05 23:48:00.990, 1, 0 %, 0 %, 427 MiB, 40960 MiB, 71.59 W
2026/08/05 23:48:00.992, 2, 0 %, 0 %, 427 MiB, 40960 MiB, 69.21 W
2026/08/05 23:48:00.994, 3, 0 %, 0 %, 427 MiB, 40960 MiB, 72.20 W
2026/08/05 23:48:05.995, 0, 0 %, 0 %, 38907 MiB, 40960 MiB, 73.56 W
2026/08/05 23:48:05.997, 1, 0 %, 0 %, 427 MiB, 40960 MiB, 71.59 W
2026/08/05 23:48:05.999, 2, 0 %, 0 %, 427 MiB, 40960 MiB, 69.21 W
2026/08/05 23:48:06.000, 3, 0 %, 0 %, 427 MiB, 40960 MiB, 72.36 W
2026/08/05 23:48:11.002, 0, 0 %, 0 %, 38907 MiB, 40960 MiB, 73.65 W
2026/08/05 23:48:11.006, 1, 0 %, 0 %, 427 MiB, 40960 MiB, 71.59 W
2026/08/05 23:48:11.007, 2, 0 %, 0 %, 427 MiB, 40960 MiB, 69.50 W
2026/08/05 23:48:11.009, 3, 0 %, 0 %, 427 MiB, 40960 MiB, 72.36 W
2026/08/05 23:48:16.011, 0, 1 %, 0 %, 38923 MiB, 40960 MiB, 73.93 W
2026/08/05 23:48:16.013, 1, 0 %, 0 %, 427 MiB, 40960 MiB, 71.59 W
2026/08/05 23:48:16.015, 2, 0 %, 0 %, 427 MiB, 40960 MiB, 69.58 W
2026/08/05 23:48:16.017, 3, 0 %, 0 %, 427 MiB, 40960 MiB, 72.44 W
2026/08/05 23:48:21.018, 0, 5 %, 0 %, 38925 MiB, 40960 MiB, 73.85 W
2026/08/05 23:48:21.020, 1, 0 %, 0 %, 427 MiB, 40960 MiB, 71.59 W
2026/08/05 23:48:21.022, 2, 0 %, 0 %, 427 MiB, 40960 MiB, 69.21 W
2026/08/05 23:48:21.023, 3, 0 %, 0 %, 427 MiB, 40960 MiB, 72.36 W
2026/08/05 23:48:26.025, 0, 0 %, 0 %, 38925 MiB, 40960 MiB, 73.93 W
2026/08/05 23:48:26.027, 1, 0 %, 0 %, 427 MiB, 40960 MiB, 71.88 W
2026/08/05 23:48:26.028, 2, 0 %, 0 %, 427 MiB, 40960 MiB, 69.50 W
2026/08/05 23:48:26.030, 3, 0 %, 0 %, 427 MiB, 40960 MiB, 72.36 W
2026/08/05 23:48:31.031, 0, 0 %, 0 %, 38925 MiB, 40960 MiB, 73.93 W
2026/08/05 23:48:31.034, 1, 0 %, 0 %, 427 MiB, 40960 MiB, 71.59 W
2026/08/05 23:48:31.036, 2, 0 %, 0 %, 427 MiB, 40960 MiB, 69.50 W
2026/08/05 23:48:31.038, 3, 0 %, 0 %, 427 MiB, 40960 MiB, 72.36 W
2026/08/05 23:48:36.041, 0, 6 %, 0 %, 38925 MiB, 40960 MiB, 73.85 W
2026/08/05 23:48:36.043, 1, 0 %, 0 %, 427 MiB, 40960 MiB, 71.59 W
2026/08/05 23:48:36.044, 2, 0 %, 0 %, 427 MiB, 40960 MiB, 69.50 W
2026/08/05 23:48:36.046, 3, 0 %, 0 %, 427 MiB, 40960 MiB, 72.36 W
2026/08/05 23:48:41.047, 0, 6 %, 0 %, 38925 MiB, 40960 MiB, 73.93 W
2026/08/05 23:48:41.050, 1, 0 %, 0 %, 427 MiB, 40960 MiB, 71.88 W
2026/08/05 23:48:41.052, 2, 0 %, 0 %, 427 MiB, 40960 MiB, 69.21 W
2026/08/05 23:48:41.054, 3, 0 %, 0 %, 427 MiB, 40960 MiB, 72.36 W
2026/08/05 23:48:46.056, 0, 0 %, 0 %, 38925 MiB, 40960 MiB, 74.17 W
2026/08/05 23:48:46.058, 1, 0 %, 0 %, 427 MiB, 40960 MiB, 71.88 W
2026/08/05 23:48:46.060, 2, 0 %, 0 %, 427 MiB, 40960 MiB, 69.50 W
2026/08/05 23:48:46.061, 3, 0 %, 0 %, 427 MiB, 40960 MiB, 72.36 W
2026/08/05 23:48:51.063, 0, 0 %, 0 %, 38925 MiB, 40960 MiB, 73.93 W
2026/08/05 23:48:51.066, 1, 0 %, 0 %, 427 MiB, 40960 MiB, 71.59 W
2026/08/05 23:48:51.068, 2, 0 %, 0 %, 427 MiB, 40960 MiB, 69.21 W
2026/08/05 23:48:51.070, 3, 0 %, 0 %, 427 MiB, 40960 MiB, 72.36 W
2026/08/05 23:48:56.073, 0, 0 %, 0 %, 38927 MiB, 40960 MiB, 73.93 W
2026/08/05 23:48:56.075, 1, 0 %, 0 %, 427 MiB, 40960 MiB, 71.59 W
2026/08/05 23:48:56.076, 2, 0 %, 0 %, 427 MiB, 40960 MiB, 69.50 W
2026/08/05 23:48:56.078, 3, 0 %, 0 %, 427 MiB, 40960 MiB, 72.44 W
2026/08/05 23:49:01.079, 0, 0 %, 0 %, 0 MiB, 40960 MiB, 55.69 W
2026/08/05 23:49:01.081, 1, 0 %, 0 %, 0 MiB, 40960 MiB, 53.63 W
2026/08/05 23:49:01.082, 2, 0 %, 0 %, 0 MiB, 40960 MiB, 51.16 W
2026/08/05 23:49:01.083, 3, 0 %, 0 %, 0 MiB, 40960 MiB, 53.17 W
