timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/08/07 17:22:40.487, 0, 0 %, 0 %, 0 MiB, 40960 MiB, 80.10 W
2026/08/07 17:22:45.497, 0, 0 %, 0 %, 0 MiB, 40960 MiB, 53.77 W
2026/08/07 17:22:50.499, 0, 0 %, 0 %, 38907 MiB, 40960 MiB, 101.44 W
2026/08/07 17:22:55.510, 0, 0 %, 0 %, 38907 MiB, 40960 MiB, 101.79 W
2026/08/07 17:23:00.512, 0, 0 %, 0 %, 38907 MiB, 40960 MiB, 101.55 W
2026/08/07 17:23:05.515, 0, 0 %, 0 %, 38907 MiB, 40960 MiB, 101.96 W
2026/08/07 17:23:10.517, 0, 0 %, 0 %, 38907 MiB, 40960 MiB, 101.67 W
2026/08/07 17:23:15.521, 0, 0 %, 0 %, 38907 MiB, 40960 MiB, 101.83 W
2026/08/07 17:23:20.523, 0, 0 %, 0 %, 38907 MiB, 40960 MiB, 101.67 W
2026/08/07 17:23:25.525, 0, 0 %, 0 %, 38907 MiB, 40960 MiB, 101.67 W
2026/08/07 17:23:30.528, 0, 0 %, 0 %, 38907 MiB, 40960 MiB, 101.67 W
2026/08/07 17:23:35.531, 0, 0 %, 0 %, 38907 MiB, 40960 MiB, 101.83 W
2026/08/07 17:23:40.534, 0, 0 %, 0 %, 38907 MiB, 40960 MiB, 101.67 W
2026/08/07 17:23:45.537, 0, 0 %, 0 %, 38907 MiB, 40960 MiB, 101.67 W
2026/08/07 17:23:50.539, 0, 0 %, 0 %, 38907 MiB, 40960 MiB, 101.83 W
2026/08/07 17:23:55.541, 0, 0 %, 0 %, 38907 MiB, 40960 MiB, 101.67 W
2026/08/07 17:24:00.544, 0, 0 %, 0 %, 38907 MiB, 40960 MiB, 101.67 W
2026/08/07 17:24:05.547, 0, 0 %, 0 %, 38907 MiB, 40960 MiB, 101.67 W
2026/08/07 17:24:10.551, 0, 0 %, 0 %, 38907 MiB, 40960 MiB, 101.67 W
2026/08/07 17:24:15.556, 0, 0 %, 0 %, 38907 MiB, 40960 MiB, 101.67 W
2026/08/07 17:24:20.563, 0, 0 %, 0 %, 38907 MiB, 40960 MiB, 102.07 W
